,user_id,item_id,rating
0,39,26,5
1,3,107,5
2,37,67,1
3,17,87,4
4,7,19,2
5,18,7,2
6,31,53,5
7,15,16,4
8,25,44,5
9,6,22,4
10,36,92,1
11,44,77,1
12,35,37,1
13,24,107,4
14,31,57,3
15,16,85,2
16,26,80,3
17,20,37,1
18,7,55,2
19,17,44,3
20,48,62,4
21,42,89,4
22,16,66,2
23,44,43,3
24,29,78,4
25,15,55,5
26,42,34,3
27,48,101,1
28,14,46,5
29,20,98,2
30,30,81,1
31,48,79,4
32,16,23,4
33,20,60,4
34,29,2,3
35,8,75,3
36,15,105,1
37,23,60,3
38,4,105,2
39,40,50,2
40,8,61,5
41,23,68,3
42,8,43,2
43,3,47,5
44,41,107,3
45,34,32,1
46,1,68,5
47,32,41,3
48,20,59,5
49,3,38,5
50,45,18,5
51,47,11,3
52,44,3,2
53,28,12,2
54,4,42,5
55,14,20,2
56,19,36,5
57,38,101,1
58,27,37,1
59,27,52,5
60,26,46,2
61,49,31,2
62,5,78,4
63,39,72,4
64,31,65,1
65,5,39,3
66,17,74,1
67,35,12,2
68,25,107,4
69,22,63,4
70,24,108,5
71,33,7,5
72,40,12,5
73,6,19,1
74,4,61,3
75,38,41,1
76,10,75,4
77,25,40,5
78,8,9,1
79,34,31,1
80,4,32,3
81,47,93,1
82,5,20,5
83,39,107,1
84,12,26,3
85,8,70,1
86,22,68,4
87,18,3,5
88,45,105,5
89,45,32,2
90,40,32,3
91,23,95,3
92,8,12,5
93,11,19,3
94,1,24,1
95,30,30,4
96,22,107,5
97,24,76,3
98,16,51,1
99,26,47,3
100,44,86,5
101,34,56,5
102,25,92,4
103,18,47,1
104,23,40,5
105,20,57,5
106,46,41,5
107,47,52,5
108,20,71,3
109,22,31,4
110,5,62,3
111,16,50,5
112,18,13,4
113,15,85,3
114,6,42,5
115,10,3,1
116,9,32,4
117,33,48,3
118,23,51,2
119,2,21,5
120,24,37,3
121,39,40,1
122,44,43,3
123,18,40,4
124,31,51,3
125,24,24,4
126,13,94,2
127,1,91,5
128,14,99,5
129,45,1,1
130,30,17,3
131,39,45,2
132,6,24,1
133,20,42,2
134,45,9,3
135,41,53,5
136,42,104,4
137,20,100,5
138,16,58,2
139,37,43,3
140,46,79,3
141,45,28,5
142,4,41,3
143,19,93,1
144,43,54,5
145,5,99,4
146,27,3,1
147,39,53,4
148,44,92,3
149,10,60,5
150,19,74,4
151,40,49,2
152,33,64,3
153,6,39,2
154,32,18,4
155,49,34,4
156,8,13,5
157,14,53,4
158,28,95,5
159,10,52,3
160,34,97,5
161,4,40,2
162,15,61,2
163,15,21,5
164,42,35,2
165,44,60,2
166,29,9,5
167,19,98,4
168,39,8,3
169,42,39,1
170,30,61,5
171,32,16,3
172,35,17,1
173,38,7,4
174,34,27,3
175,14,90,2
176,18,63,2
177,21,72,2
178,18,93,3
179,21,62,3
180,17,1,1
181,38,63,3
182,38,39,5
183,6,71,5
184,14,30,2
185,40,40,1
186,28,55,5
187,38,97,5
188,15,94,3
189,5,66,2
190,32,98,4
191,41,4,1
192,38,37,2
193,25,43,4
194,41,75,2
195,6,73,2
196,8,101,5
197,18,8,2
198,25,73,3
199,17,97,5
200,38,101,4
201,42,20,2
202,50,18,5
203,50,75,1
204,47,54,2
205,4,108,3
206,4,26,4
207,19,63,3
208,5,70,1
209,6,83,5
210,30,48,5
211,3,9,1
212,43,2,1
213,45,72,2
214,37,54,4
215,42,80,5
216,9,85,3
217,10,20,1
218,8,82,5
219,27,18,2
220,46,24,1
221,29,84,5
222,11,58,3
223,19,53,1
224,26,108,1
225,23,96,4
226,48,86,5
227,6,27,5
228,46,76,1
229,28,50,3
230,20,34,2
231,19,18,5
232,36,23,4
233,17,10,5
234,40,11,5
235,44,59,1
236,26,57,3
237,22,67,1
238,28,5,4
239,6,81,4
240,44,48,2
241,10,102,3
242,22,92,5
243,45,107,3
244,33,75,4
245,50,20,1
246,20,22,1
247,12,78,1
248,16,18,3
249,21,108,3
250,20,72,3
251,31,59,1
252,39,33,5
253,47,85,3
254,15,109,4
255,41,82,3
256,5,5,2
257,39,71,4
258,34,68,3
259,8,54,4
260,18,101,4
261,30,41,2
262,35,9,3
263,2,63,1
264,8,1,1
265,49,25,3
266,16,51,3
267,35,47,4
268,31,104,4
269,22,109,3
270,38,72,5
271,34,46,4
272,47,86,1
273,1,7,3
274,15,92,1
275,27,3,3
276,37,51,4
277,15,86,3
278,28,7,2
279,5,22,5
280,36,55,2
281,38,20,5
282,15,10,2
283,25,47,4
284,40,33,3
285,19,66,3
286,24,66,4
287,25,73,5
288,31,101,5
289,36,99,5
290,9,85,5
291,50,28,5
292,7,26,3
293,29,92,4
294,29,40,2
295,35,75,3
296,50,48,2
297,41,78,3
298,20,68,3
299,5,104,2
300,18,90,5
301,16,101,2
302,46,89,1
303,12,76,5
304,31,88,4
305,49,6,2
306,6,53,5
307,23,45,5
308,48,34,4
309,4,8,5
310,13,56,1
311,3,55,1
312,24,9,3
313,4,67,1
314,50,10,2
315,41,22,2
316,6,44,3
317,20,77,4
318,4,23,2
319,27,24,4
320,11,78,2
321,41,54,3
322,1,99,4
323,27,3,2
324,50,103,4
325,5,72,4
326,17,77,3
327,36,78,2
328,20,25,1
329,40,4,2
330,34,55,3
331,1,30,3
332,7,85,1
333,48,3,3
334,16,62,1
335,7,63,4
336,7,34,2
337,34,34,2
338,28,30,2
339,24,49,1
340,13,80,3
341,13,51,4
342,49,56,5
343,43,21,3
344,9,72,2
345,46,27,3
346,14,14,3
347,2,74,4
348,50,45,5
349,28,107,1
350,26,64,2
351,23,96,3
352,13,39,1
353,42,59,1
354,44,31,2
355,19,101,3
356,48,94,4
357,5,75,2
358,14,95,5
359,7,86,1
360,40,42,3
361,29,103,3
362,46,64,2
363,40,108,3
364,38,11,1
365,23,63,3
366,6,99,1
367,24,82,1
368,23,26,4
369,6,48,3
370,42,43,4
371,14,106,2
372,44,49,3
373,6,22,5
374,2,79,4
375,26,102,2
376,6,94,3
377,22,27,4
378,4,98,1
379,32,52,5
380,48,88,3
381,35,45,1
382,36,85,4
383,42,101,3
384,30,47,1
385,29,104,2
386,48,70,5
387,44,95,4
388,41,92,3
389,50,16,2
390,50,66,4
391,34,18,1
392,3,29,3
393,14,85,4
394,50,3,4
395,42,100,5
396,21,44,2
397,43,63,3
398,11,7,5
399,1,92,2
400,31,103,1
401,30,82,2
402,22,101,5
403,42,53,1
404,17,74,3
405,8,79,3
406,32,66,5
407,50,40,1
408,45,99,1
409,16,71,2
410,24,109,5
411,17,28,3
412,38,14,1
413,15,95,3
414,46,84,4
415,33,82,2
416,46,13,2
417,49,57,4
418,16,17,5
419,50,20,3
420,45,80,1
421,1,51,5
422,35,101,1
423,46,4,1
424,7,9,2
425,2,26,4
426,31,79,5
427,44,47,4
428,44,57,3
429,42,101,1
430,7,45,2
431,2,4,1
432,5,30,3
433,18,34,1
434,40,63,2
435,41,66,2
436,35,21,5
437,44,58,3
438,30,11,2
439,5,5,2
440,10,65,2
441,19,17,1
442,8,46,2
443,41,90,3
444,18,84,4
445,29,73,4
446,17,101,2
447,49,41,3
448,1,79,1
449,12,37,3
450,13,104,3
451,12,18,5
452,45,14,2
453,8,86,1
454,8,21,1
455,36,58,5
456,24,4,1
457,15,46,2
458,1,21,5
459,4,13,5
460,15,102,2
461,40,21,5
462,17,1,4
463,13,106,1
464,5,10,2
465,36,10,5
466,6,48,4
467,18,85,4
468,34,16,3
469,8,4,1
470,17,38,1
471,12,37,4
472,47,40,4
473,47,42,2
474,10,39,5
475,27,85,2
476,10,57,3
477,7,12,2
478,1,74,3
479,9,102,4
480,39,57,4
481,39,105,4
482,21,39,5
483,3,86,4
484,14,65,5
485,49,27,4
486,6,47,1
487,49,15,4
488,31,44,2
489,42,79,2
490,37,17,3
491,38,85,4
492,31,48,5
493,23,82,5
494,19,50,4
495,34,106,2
496,29,60,2
497,2,47,3
498,9,54,1
499,16,98,4
500,14,30,4
501,3,71,4
502,13,77,5
503,18,85,1
504,18,50,3
505,1,29,5
506,50,12,4
507,5,66,3
508,45,64,5
509,22,64,5
510,20,7,5
511,41,93,3
512,8,11,4
513,4,91,5
514,27,81,5
515,26,106,3
516,25,37,5
517,5,18,4
518,44,9,3
519,43,30,5
520,37,20,3
521,19,30,4
522,43,31,2
523,42,54,3
524,11,46,3
525,30,34,3
526,50,5,1
527,12,73,3
528,9,50,3
529,22,92,3
530,32,33,4
531,22,27,2
532,16,98,3
533,6,47,1
534,29,68,4
535,20,66,5
536,33,55,2
537,9,70,2
538,48,54,4
539,10,19,3
540,13,60,4
541,3,64,3
542,41,16,4
543,23,63,2
544,39,66,4
545,3,91,4
546,48,20,4
547,34,4,2
548,37,3,3
549,35,20,4
550,18,71,1
551,3,53,5
552,18,3,4
553,28,42,5
554,43,82,1
555,13,104,2
